row,rank,mal_id,title,score,reason,anchor,primary_genre,mal_url,anilist_id,row_description
general_recommendations,11,64205,Shounen to Gundam,0.5499,content fallback: profile match + catalog quality,content fallback,Action,https://myanimelist.net/anime/64205/Shounen_to_Gundam,212323.0,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
general_recommendations,12,63558,The Horrors' Horror Home,0.5472,content fallback: profile match + catalog quality,content fallback,Comedy,https://myanimelist.net/anime/63558/The_Horrors_Horror_Home,,"Fallback main row: current/recent season picks, popular high-score anchors, and content profile matches."
because_you_liked,1,10800,Chihayafuru,101.8598,similar to 3-gatsu no Lion through recommendation edges,3-gatsu no Lion,Drama,https://myanimelist.net/anime/10800/Chihayafuru,10800.0,Similar-anime row anchored on highly rated titles.
because_you_liked,2,44074,Shiguang Dailiren,156.7598,similar to Steins;Gate through recommendation edges,Steins;Gate,Drama,https://myanimelist.net/anime/44074/Shiguang_Dailiren,126403.0,Similar-anime row anchored on highly rated titles.
because_you_liked,3,165,RahXephon,79.6326,similar to Shinseiki Evangelion through recommendation edges,Shinseiki Evangelion,Drama,https://myanimelist.net/anime/165/RahXephon,165.0,Similar-anime row anchored on highly rated titles.
because_you_liked,4,41025,Fumetsu no Anata e,157.6431,similar to Sousou no Frieren through recommendation edges,Sousou no Frieren,Adventure,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,114535.0,Similar-anime row anchored on highly rated titles.
because_you_liked,5,54,Appleseed (Movie),29.0556,similar to Koukaku Kidoutai: Stand Alone Complex through recommendation edges,Koukaku Kidoutai: Stand Alone Complex,Action,https://myanimelist.net/anime/54/Appleseed_Movie,54.0,Similar-anime row anchored on highly rated titles.
because_you_liked,6,55102,Girls Band Cry,112.2263,similar to K-On! through recommendation edges,K-On!,Drama,https://myanimelist.net/anime/55102/Girls_Band_Cry,164212.0,Similar-anime row anchored on highly rated titles.
because_you_liked,7,169,Shingetsutan Tsukihime,157.3565,similar to Kara no Kyoukai Movie 5: Mujun Rasen through recommendation edges,Kara no Kyoukai Movie 5: Mujun Rasen,Action,https://myanimelist.net/anime/169/Shingetsutan_Tsukihime,169.0,Similar-anime row anchored on highly rated titles.
because_you_liked,8,39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,52.0605,similar to Mushoku Tensei: Isekai Ittara Honki Dasu through recommendation edges,Mushoku Tensei: Isekai Ittara Honki Dasu,Fantasy,https://myanimelist.net/anime/39468/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen,108268.0,Similar-anime row anchored on highly rated titles.
because_you_liked,9,31859,Hai to Gensou no Grimgar,14.4221,similar to Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 through recommendation edges,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Action,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,21428.0,Similar-anime row anchored on highly rated titles.
because_you_liked,10,40752,Bishounen Tanteidan,18.0643,similar to Owarimonogatari through recommendation edges,Owarimonogatari,Comedy,https://myanimelist.net/anime/40752/Bishounen_Tanteidan,113428.0,Similar-anime row anchored on highly rated titles.
because_you_liked,11,54650,Precure All Stars Movie F,4.2943,similar to Owarimonogatari 2nd Season through recommendation edges,Owarimonogatari 2nd Season,Action,https://myanimelist.net/anime/54650/Precure_All_Stars_Movie_F,159429.0,Similar-anime row anchored on highly rated titles.
because_you_liked,12,1829,Ged Senki,20.7937,similar to Mononoke Hime through recommendation edges,Mononoke Hime,Adventure,https://myanimelist.net/anime/1829/Ged_Senki,1829.0,Similar-anime row anchored on highly rated titles.
continue_your_journey,1,51122,Ookami to Koushinryou: Merchant Meets the Wise Wolf,14.4,Alternative Version connected to a liked title,Ookami to Koushinryou,Adventure,https://myanimelist.net/anime/51122/Ookami_to_Koushinryou__Merchant_Meets_the_Wise_Wolf,145728.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,2,41567,Isekai Quartet Movie: Another World,12.0,Prequel connected to a liked title,Isekai Quartet 3,Comedy,https://myanimelist.net/anime/41567/Isekai_Quartet_Movie__Another_World,117074.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,3,6033,Dragon Ball Kai,11.8,Sequel connected to a liked title,Dragon Ball,Action,https://myanimelist.net/anime/6033/Dragon_Ball_Kai,6033.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,4,1911,Top wo Nerae! & Top wo Nerae 2! Gattai Movie!!,9.6,Alternative Version connected to a liked title,Top wo Nerae! Gunbuster,Action,https://myanimelist.net/anime/1911/Top_wo_Nerae___Top_wo_Nerae_2_Gattai_Movie,1911.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,5,22777,Dragon Ball Kai (2014),9.0,Alternative Version connected to a liked title,Dragon Ball Z,Action,https://myanimelist.net/anime/22777/Dragon_Ball_Kai_2014,20635.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,6,10108,Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,8.0,Side Story connected to a liked title,Ore no Imouto ga Konnani Kawaii Wake ga Nai,Comedy,https://myanimelist.net/anime/10108/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai__SD_Chara_ni_Yoru_Character_Commentary,10108.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,7,42091,Shingeki no Kyojin: Chronicle,8.0,relation path from Shingeki no Kyojin,Shingeki no Kyojin,Action,https://myanimelist.net/anime/42091/Shingeki_no_Kyojin__Chronicle,119113.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,8,52747,Psycho-Pass Movie 2: Providence,7.4,Sequel connected to a liked title,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,Action,https://myanimelist.net/anime/52747/Psycho-Pass_Movie_2__Providence,153687.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,9,32379,Berserk,7.0,Sequel connected to a liked title,Kenpuu Denki Berserk,Action,https://myanimelist.net/anime/32379/Berserk,21560.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,10,401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,7.0,Sequel connected to a liked title,Rurouni Kenshin: Meiji Kenkaku Romantan,Drama,https://myanimelist.net/anime/401/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Seisou-hen,401.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,11,1915,Mahou Shoujo Lyrical Nanoha StrikerS,7.0,Sequel connected to a liked title,Mahou Shoujo Lyrical Nanoha A's,Action,https://myanimelist.net/anime/1915/Mahou_Shoujo_Lyrical_Nanoha_StrikerS,1915.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
continue_your_journey,12,42745,Machikado Mazoku: 2-choume,7.0,Sequel connected to a liked title,Machikado Mazoku,Comedy,https://myanimelist.net/anime/42745/Machikado_Mazoku__2-choume,123330.0,"Relation-aware franchise row for sequels, side stories, parent stories, specials, and related entries."
people_you_like,1,416,Kurenai no Buta,49.8152,"shared staff: Miyazaki, Hayao (original_creator)","Miyazaki, Hayao",Action,https://myanimelist.net/anime/416/Kurenai_no_Buta,416.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,2,656,Air in Summer,49.406,shared staff: Key (original_creator),Key,Comedy,https://myanimelist.net/anime/656/Air_in_Summer,656.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,3,1245,Shihaisha no Tasogare,42.4558,"shared staff: Shinbou, Akiyuki (director)","Shinbou, Akiyuki",Horror,https://myanimelist.net/anime/1245/Shihaisha_no_Tasogare,1245.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,4,49052,Ao Ashi,7.5096,shared studio: Production I.G,Production I.G,Sports,https://myanimelist.net/anime/49052/Ao_Ashi,134732.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,5,1827,Seirei no Moribito,7.4766,shared studio: Production I.G,Production I.G,Action,https://myanimelist.net/anime/1827/Seirei_no_Moribito,1827.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,6,59465,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 2,1151.0902,"shared voice actor: Sakamoto, Maaya (MAIN)","Sakamoto, Maaya",Comedy,https://myanimelist.net/anime/59465/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai_Season_2,179991.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,7,35220,Youkai Apartment no Yuuga na Nichijou,1036.8562,"shared voice actor: Nakamura, Yuuichi (MAIN)","Nakamura, Yuuichi",Mystery,https://myanimelist.net/anime/35220/Youkai_Apartment_no_Yuuga_na_Nichijou,98501.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,8,36029,Hakyuu Houshin Engi,949.3407,"shared voice actor: Hikasa, Youko (MAIN)","Hikasa, Youko",Adventure,https://myanimelist.net/anime/36029/Hakyuu_Houshin_Engi,99727.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,9,6702,Fairy Tail,932.3978,"shared voice actor: Ohara, Sayaka (Main)","Ohara, Sayaka",Action,https://myanimelist.net/anime/6702/Fairy_Tail,6702.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,10,14467,K,923.8891,"shared voice actor: Namikawa, Daisuke (MAIN)","Namikawa, Daisuke",Action,https://myanimelist.net/anime/14467/K,14467.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,11,9074,Arakawa Under the Bridge x Bridge,920.1441,"shared voice actor: Sakamoto, Maaya (MAIN)","Sakamoto, Maaya",Comedy,https://myanimelist.net/anime/9074/Arakawa_Under_the_Bridge_x_Bridge,9074.0,"Voice actor, director, original creator, original character design, and studio row."
people_you_like,12,36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,840.8591,"shared voice actor: Matsuoka, Yoshitsugu (MAIN)","Matsuoka, Yoshitsugu",Comedy,https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,100773.0,"Voice actor, director, original creator, original character design, and studio row."
give_it_a_try,1,2076,Kindaichi Shounen no Jikenbo,0.884,controlled exploration: different genre/era/style with enough audience signal,,Mystery,https://myanimelist.net/anime/2076/Kindaichi_Shounen_no_Jikenbo,2076.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,2,5040,One Outs,0.866,controlled exploration: different genre/era/style with enough audience signal,,Psychological,https://myanimelist.net/anime/5040/One_Outs,5040.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,3,2112,Over Drive,0.8534,controlled exploration: different genre/era/style with enough audience signal,,Sports,https://myanimelist.net/anime/2112/Over_Drive,2112.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,4,658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,0.8456,controlled exploration: different genre/era/style with enough audience signal,,Psychological,https://myanimelist.net/anime/658/Touhai_Densetsu_Akagi__Yami_ni_Maiorita_Tensai,658.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,5,8310,Magic Kaito,0.8306,controlled exploration: different genre/era/style with enough audience signal,,Adventure,https://myanimelist.net/anime/8310/Magic_Kaito,8310.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,6,9938,Ikoku Meiro no Croisée The Animation,0.8295,controlled exploration: different genre/era/style with enough audience signal,,Slice of Life,https://myanimelist.net/anime/9938/Ikoku_Meiro_no_Croisée_The_Animation,9938.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,7,9000,Toaru Hikuushi e no Tsuioku,0.8211,controlled exploration: different genre/era/style with enough audience signal,,Adventure,https://myanimelist.net/anime/9000/Toaru_Hikuushi_e_no_Tsuioku,9000.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,8,3167,Eve no Jikan,0.8203,controlled exploration: different genre/era/style with enough audience signal,,Sci-Fi,https://myanimelist.net/anime/3167/Eve_no_Jikan,3167.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,9,10568,Kamisama no Memochou,0.8068,controlled exploration: different genre/era/style with enough audience signal,,Mystery,https://myanimelist.net/anime/10568/Kamisama_no_Memochou,10568.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,10,1212,Oban Star-Racers,0.8009,controlled exploration: different genre/era/style with enough audience signal,,Adventure,https://myanimelist.net/anime/1212/Oban_Star-Racers,1212.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,11,5671,Saki,0.7999,controlled exploration: different genre/era/style with enough audience signal,,Slice of Life,https://myanimelist.net/anime/5671/Saki,5671.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
give_it_a_try,12,6802,So Ra No Wo To,0.78,controlled exploration: different genre/era/style with enough audience signal,,Music,https://myanimelist.net/anime/6802/So_Ra_No_Wo_To,6802.0,Controlled exploration row: strong titles that deviate from the dominant taste sphere.
